Track[name=Fading Like A Flower - Radio Edit,artist=Roxette,duration=185,color=java.awt.Color[r=30,g=225,b=206],day=0,graphHeight=2799], 313288686, -1308124139
Track[name=Paddy's Revenge - Radio Edit,artist=Steve Mac,duration=150,color=java.awt.Color[r=175,g=80,b=8],day=0,graphHeight=2654], 1960526805, 1033722718
Track[name=Heaven - Cascada Radio Mix,artist=Manian,duration=189,color=java.awt.Color[r=208,g=47,b=44],day=0,graphHeight=2466], 1732415714, -546825237
Track[name=Elements,artist=Neo Cortex,duration=226,color=java.awt.Color[r=141,g=114,b=195],day=0,graphHeight=2230], 1127619172, 1231915264
Track[name=Set you free - Original mix,artist=N-Trance,duration=436,color=java.awt.Color[r=32,g=223,b=124],day=0,graphHeight=1978], 352239029, 1992712161
Track[name=Never Leave You Alone,artist=Dance Assassins,duration=278,color=java.awt.Color[r=235,g=20,b=252],day=0,graphHeight=1700], 1616429271, -1140185436
Track[name=I'll Be Ready - Radio Version,artist=Sunblock,duration=429,color=java.awt.Color[r=232,g=23,b=242],day=0,graphHeight=1536], 1658623147, 1708271337
Track[name=From Somewhere - Original Mix,artist=Ronny K.,duration=524,color=java.awt.Color[r=126,g=129,b=245],day=0,graphHeight=1001], 2141493569, -310945462
Track[name=Shake It Out,artist=Florence + the Machine,duration=278,color=java.awt.Color[r=1,g=254,b=84],day=0,graphHeight=857], 256490463, 920211594
Track[name=The Angry Mob,artist=Kaiser Chiefs,duration=283,color=java.awt.Color[r=73,g=182,b=33],day=0,graphHeight=285], 835532112, 256752943
Track[name=Calling You,artist=Blue October,duration=240,color=java.awt.Color[r=78,g=177,b=135],day=0,graphHeight=45], 392638651, 41895709
Track[name=Death,artist=White Lies,duration=302,color=java.awt.Color[r=253,g=2,b=222],day=-1,graphHeight=86144], 2008043773, -695788010
Track[name=No Light, No Light,artist=Florence + the Machine,duration=275,color=java.awt.Color[r=52,g=203,b=67],day=-1,graphHeight=85868], 1486180206, -643791207
Track[name=Retirement,artist=Kaiser Chiefs,duration=234,color=java.awt.Color[r=223,g=32,b=145],day=-1,graphHeight=85636], 848423985, 1815418664
Track[name=Tonight In Babylon - Acoustic Mix,artist=Bryan Adams,duration=219,color=java.awt.Color[r=231,g=24,b=216],day=-1,graphHeight=85417], 170499815, 1759120933
Track[name=Titanium (Extended),artist=David Guetta,duration=90,color=java.awt.Color[r=62,g=193,b=88],day=-1,graphHeight=85104], 847205607, 1857209257
Track[name=Farewell To The Fairground,artist=White Lies,duration=257,color=java.awt.Color[r=203,g=52,b=227],day=-1,graphHeight=84847], 1168057239, 455086877
Track[name=Levels,artist=Avicii,duration=194,color=java.awt.Color[r=232,g=23,b=58],day=-1,graphHeight=84646], 1389998646, 735587294
Track[name=Take Me Out,artist=Franz Ferdinand,duration=240,color=java.awt.Color[r=172,g=83,b=221],day=-1,graphHeight=84407], 1380131256, -737198653
Track[name=Heartlines,artist=Florence + the Machine,duration=302,color=java.awt.Color[r=238,g=17,b=197],day=-1,graphHeight=84105], 895148345, -608361136
